First Name,Last Name,Riding,Province,Party,Email
Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,ziad.aboultaif@parl.gc.ca
Sima,Acan,Oakville West,Ontario,Liberal,sima.acan@parl.gc.ca
Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,Scott.Aitchison@parl.gc.ca
Fares,Al Soud,Mississauga Centre,Ontario,Liberal,fares.alsoud@parl.gc.ca
Dan,Albas,Okanagan Lake West—South Kelowna,British Columbia,Conservative,dan.albas@parl.gc.ca
Shafqat,Ali,Brampton—Chinguacousy Park,Ontario,Liberal,shafqat.ali@parl.gc.ca
Dean,Allison,Niagara West,Ontario,Conservative,dean.allison@parl.gc.ca
Rebecca,Alty,Northwest Territories,Northwest Territories,Liberal,rebecca.alty@parl.gc.ca
Anita,Anand,Oakville East,Ontario,Liberal,Anita.Anand@parl.gc.ca
Gary,Anandasangaree,Scarborough—Guildwood—Rouge Park,Ontario,Liberal,gary.anand@parl.gc.ca
Scott,Anderson,Vernon—Lake Country—Monashee,British Columbia,Conservative,scott.anderson@parl.gc.ca
Carol,Anstey,Long Range Mountains,Newfoundland and Labrador,Conservative,carol.anstey@parl.gc.ca
Mel,Arnold,Kamloops—Shuswap—Central Rockies,British Columbia,Conservative,mel.arnold@parl.gc.ca
Chak,Au,Richmond Centre—Marpole,British Columbia,Conservative,chak.au@parl.gc.ca
Tatiana,Auguste,Terrebonne,Quebec,Liberal,tatiana.auguste@parl.gc.ca
Roman,Baber,York Centre,Ontario,Conservative,roman.baber@parl.gc.ca
Burton,Bailey,Red Deer,Alberta,Conservative,burton.bailey@parl.gc.ca
Parm,Bains,Richmond East—Steveston,British Columbia,Liberal,parm.bains@parl.gc.ca
Yvan,Baker,Etobicoke Centre,Ontario,Liberal,Yvan.Baker@parl.gc.ca
Tony,Baldinelli,Niagara Falls—Niagara-on-the-Lake,Ontario,Conservative,Tony.Baldinelli@parl.gc.ca
Karim,Bardeesy,Taiaiako'n—Parkdale—High Park,Ontario,Liberal,karim.bardeesy@parl.gc.ca
John,Barlow,Foothills,Alberta,Conservative,john.barlow@parl.gc.ca
Michael,Barrett,Leeds—Grenville—Thousand Islands—Rideau Lakes,Ontario,Conservative,Michael.Barrett@parl.gc.ca
Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,xavier.barsalou-duval@parl.gc.ca
Jaime,Battiste,Cape Breton—Canso—Antigonish,Nova Scotia,Liberal,Jaime.Battiste@parl.gc.ca
Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,mario.beaulieu@parl.gc.ca
Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,terry.beech@parl.gc.ca
Buckley,Belanger,Desnethé—Missinippi—Churchill River,Saskatchewan,Liberal,buckley.belanger@parl.gc.ca
Jim,Bélanger,Sudbury East—Manitoulin—Nickel Belt,Ontario,Conservative,jim.belanger@parl.gc.ca
Rachel,Bendayan,Outremont,Quebec,Liberal,Rachel.Bendayan@parl.gc.ca
Luc,Berthold,Mégantic—L'Érable—Lotbinière,Quebec,Conservative,luc.berthold@parl.gc.ca
David,Bexte,Bow River,Alberta,Conservative,david.bexte@parl.gc.ca
James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,james.bezan@parl.gc.ca
Chris,Bittle,St. Catharines,Ontario,Liberal,chris.bittle@parl.gc.ca
Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,Yves-Francois.Blanchet@parl.gc.ca
Maxime,Blanchette-Joncas,Rimouski—La Matapédia,Quebec,Bloc Québécois,Maxime.Blanchette-Joncas@parl.gc.ca
Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,kelly.block@parl.gc.ca
Kody,Blois,Kings—Hants,Nova Scotia,Liberal,Kody.Blois@parl.gc.ca
Patrick,Bonin,Repentigny,Quebec,Bloc Québécois,patrick.bonin@parl.gc.ca
Steven,Bonk,Souris—Moose Mountain,Saskatchewan,Conservative,steven.bonk@parl.gc.ca
Kathy,Borrelli,Windsor—Tecumseh—Lakeshore,Ontario,Conservative,kathy.borrelli@parl.gc.ca
Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,Alexandre.Boulerice@parl.gc.ca
Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,Richard.Bragdon@parl.gc.ca
John,Brassard,Barrie South—Innisfil,Ontario,Conservative,john.brassard@parl.gc.ca
Élisabeth,Brière,Sherbrooke,Quebec,Liberal,Elisabeth.Briere@parl.gc.ca
Larry,Brock,Brantford—Brant South—Six Nations,Ontario,Conservative,larry.brock@parl.gc.ca
Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc Québécois,Alexis.Brunelle-Duceppe@parl.gc.ca
Blaine,Calkins,Ponoka—Didsbury,Alberta,Conservative,blaine.calkins@parl.gc.ca
Frank,Caputo,Kamloops—Thompson—Nicola,British Columbia,Conservative,frank.caputo@parl.gc.ca
Mark,Carney,Nepean,Ontario,Liberal,mark.carney@parl.gc.ca
Ben,Carr,Winnipeg South Centre,Manitoba,Liberal,ben.carr@parl.gc.ca
Sean,Casey,Charlottetown,Prince Edward Island,Liberal,sean.casey@parl.gc.ca
Bardish,Chagger,Waterloo,Ontario,Liberal,bardish.chagger@parl.gc.ca
Adam,Chambers,Simcoe North,Ontario,Conservative,adam.chambers@parl.gc.ca
François-Philippe,Champagne,Saint-Maurice—Champlain,Quebec,Liberal,francois-philippe.champagne@parl.gc.ca
Martin,Champoux,Drummond,Quebec,Bloc Québécois,Martin.Champoux@parl.gc.ca
